id_ent_fed,ent_fed,anio,subsector,categoria_generador,categoria_residuo,type_residuo,generacion_estimada_ton_anio
1,aguascalientes,2017,petrolero,microgenerador,"gasolina, diesel y naftas gastados o sucios provenientes de estaciónes de servicio y talleres automotrices",pequeño generador,1.22
1,aguascalientes,2017,petrolero,microgenerador,"gasolina, diesel y naftas gastados o sucios provenientes de estaciónes de servicio y talleres automotrices","mezclas de combustibles sucios, mezclas de hidrocarburos, naftas",0.04
1,aguascalientes,2017,petrolero,microgenerador,liquidos de proceso,"agua contaminada con hidrocarburos, combustibles, aceite o grasa",0.09
1,aguascalientes,2017,petrolero,microgenerador,lodos aceitosos,"con contaminacion de hidrocarburos, combustibles, aceite",1.08
1,aguascalientes,2017,petrolero,microgenerador,residuos solidos,"estopa, trapo, plasticos, carton, madera, brochas, papel, cepillo, etc., impregnados con pinturas, grasas, aceites, hidrocarburos",3.12
1,aguascalientes,2017,petrolero,pequeno generador,aceites gastados,lubricantes,0.58
1,aguascalientes,2017,petrolero,pequeno generador,"gasolina, diesel y naftas gastados o sucios provenientes de estaciónes de servicio y talleres automotrices","mezclas de combustibles sucios, mezclas de hidrocarburos, naftas",0.16
1,aguascalientes,2017,petrolero,pequeno generador,liquidos de proceso,"agua contaminada con hidrocarburos, combustibles, aceite o grasa",2.55
1,aguascalientes,2017,petrolero,pequeno generador,lodos,lodos provenientes de tanques de almacenaniento,8.52
1,aguascalientes,2017,petrolero,pequeno generador,lodos aceitosos,"con contaminacion de hidrocarburos, combustibles, aceite",1.46
1,aguascalientes,2017,petrolero,pequeno generador,residuos solidos,"estopa, trapo, plasticos, carton, madera, brochas, papel, cepillo, etc., impregnados con pinturas, grasas, aceites, hidrocarburos",2.42
1,aguascalientes,2017,petrolero,pequeno generador,residuos solidos,lampara fluorescentes,0.05
1,aguascalientes,2017,petrolero,pequeno generador,solventes,solventes organicos usados,0.03
1,aguascalientes,2018,petrolifero,microgenerador,aceites gastados (hidraulicos),aceite gastado hidraulico,0.2
1,aguascalientes,2018,petrolifero,microgenerador,aceites gastados (lubricantes),aceites gastados lubricantes,0.31
1,aguascalientes,2018,petrolifero,microgenerador,filtro de aire o aceite contaminados,filtro de aire o aceite contaminados,0.1
1,aguascalientes,2018,petrolifero,microgenerador,diesel y gasolina sucias,"gasolina, diesel y naftas gastados o sucios provenientes de estaciones de servicio y talleres automotrices",1.69
