ent_fed,anio,generacion_estimada_ton_anio_total
baja california,2020,8075792.273
tabasco,2019,5875015.744
michoacan de ocampo,2019,5833432.021
méxico,2020,5642546.938
coahuila de zaragoza,2020,4444554.797
méxico,2019,3805689.007
jalisco,2020,3100017.995
zacatecas,2020,2685408.2879999997
chihuahua,2020,2619313.929
tabasco,2018,2516253.35
guanajuato,2020,2293062.277
puebla,2020,1768146.6539999999
tamaulipas,2020,1543710.693
ciudad de méxico,2020,1492044.008
hidalgo,2020,1480136.913
querétaro,2020,1313655.38
veracruz de ignacio de la llave,2020,1297682.108
sonora,2020,987394.1510000001
tabasco,2020,970066.0750000001
veracruz de ignacio de la llave,2019,806316.049
durango,2020,665424.848
nuevo león,2020,487962.26
tabasco,2022,454292.82999999996
campeche,2017,450157.62
nuevo león,2018,373312.2
michoacan de ocampo,2020,315851.458
oaxaca,2020,269732.615
sinaloa,2020,267431.609
morelos,2020,221799.875
chihuahua,2019,157764.946
tamaulipas,2021,150530.43000000002
chiapas,2017,140269.6
nayarit,2020,134202.042
san luis potosí,2020,126555.916
nuevo león,2017,107627.38
guerrero,2020,97399.991
quintana roo,2020,69676.362
tlaxcala,2020,60870.41
yucatán,2020,58807.383
oaxaca,2019,55968.441000000006
coahuila de zaragoza,2019,55048.9
chiapas,2019,53364.286
veracruz de ignacio de la llave,2018,50205.91
chihuahua,2018,42399.60999999999
san luis potosí,2019,39881.562
colima,2020,35326.197
baja california sur,2020,34375.97
puebla,2019,33685.141
aguascalientes,2020,28234.481
chiapas,2020,28052.498
veracruz de ignacio de la llave,2022,24775.550000000003
tamaulipas,2022,23720.34
jalisco,2018,23293.05
méxico,2018,21549.37
durango,2019,13490.0
jalisco,2021,12237.88
chihuahua,2021,11142.44
coahuila de zaragoza,2018,10399.130000000001
aguascalientes,2019,2040.266
tabasco,2017,1056.14
veracruz de ignacio de la llave,2017,792.72
tamaulipas,2017,615.76
nayarit,2019,572.242
nuevo león,2021,549.2900000000001
guanajuato,2018,385.91
tamaulipas,2018,354.8
chihuahua,2017,344.1
tabasco,2021,336.2
coahuila de zaragoza,2017,223.82999999999998
hidalgo,2019,208.363
ciudad de méxico,2019,200.345
yucatán,2019,200.08499999999998
baja california,2018,184.27
baja california,2017,175.88
jalisco,2017,172.72
morelos,2018,162.3
baja california sur,2021,153.62
méxico,2021,134.29
puebla,2017,131.32
durango,2018,130.44
coahuila de zaragoza,2021,127.46
baja california,2021,123.82000000000001
guanajuato,2017,121.6
guanajuato,2021,117.36
baja california sur,2017,117.09
ciudad de méxico,2018,109.71000000000001
méxico,2017,96.78
hidalgo,2021,95.48
campeche,2022,94.8
querétaro,2018,88.78999999999999
puebla,2018,82.94
aguascalientes,2018,80.92999999999999
san luis potosí,2018,78.27
sinaloa,2021,72.11
yucatán,2017,62.48
nuevo león,2022,60.16
sonora,2017,59.08
michoacan de ocampo,2018,58.44
guanajuato,2019,57.394000000000005
nayarit,2018,55.2
sonora,2018,53.830000000000005
quintana roo,2018,50.92
sonora,2021,48.68
chiapas,2018,48.53
san luis potosí,2017,46.92
tamaulipas,2019,46.384
querétaro,2021,45.949999999999996
oaxaca,2017,45.85
zacatecas,2021,45.199999999999996
yucatán,2022,44.31
colima,2018,43.94
méxico,2022,42.24
hidalgo,2018,42.050000000000004
durango,2021,41.69
guerrero,2017,40.65
querétaro,2019,40.1
sinaloa,2017,40.03
chihuahua,2022,39.88
sinaloa,2018,38.49
aguascalientes,2021,38.31
zacatecas,2018,37.83
puebla,2021,36.53
guerrero,2018,34.58
morelos,2017,33.870000000000005
quintana roo,2021,33.34
ciudad de méxico,2021,30.549999999999997
hidalgo,2017,29.740000000000002
campeche,2018,29.740000000000002
sonora,2022,27.17
ciudad de méxico,2017,26.83
morelos,2021,25.45
jalisco,2022,24.95
michoacan de ocampo,2021,24.509999999999998
yucatán,2018,24.299999999999997
zacatecas,2017,22.720000000000002
nayarit,2017,21.63
aguascalientes,2017,21.32
tlaxcala,2017,18.7
baja california,2022,18.65
oaxaca,2018,18.26
durango,2017,18.130000000000003
michoacan de ocampo,2017,17.96
baja california sur,2018,17.65
campeche,2021,17.439999999999998
campeche,2020,17.435000000000002
querétaro,2017,17.23
morelos,2022,16.0
san luis potosí,2021,14.72
yucatán,2021,14.379999999999999
chiapas,2021,14.299999999999999
tlaxcala,2018,14.22
puebla,2022,13.870000000000001
baja california,2019,13.556000000000001
oaxaca,2021,12.33
guanajuato,2022,12.26
sinaloa,2022,11.59
oaxaca,2022,11.16
nayarit,2021,8.399999999999999
quintana roo,2017,7.67
colima,2021,6.74
guerrero,2021,6.46
zacatecas,2022,5.7
ciudad de méxico,2022,5.63
tlaxcala,2022,4.88
nuevo león,2019,4.782
chiapas,2022,4.65
querétaro,2022,4.18
san luis potosí,2022,4.04
tlaxcala,2021,3.8899999999999997
sonora,2019,3.352
guerrero,2022,2.87
colima,2017,2.8
hidalgo,2022,2.5
michoacan de ocampo,2022,2.43
quintana roo,2022,2.36
baja california sur,2022,2.2
veracruz de ignacio de la llave,2021,1.6
aguascalientes,2022,1.38
jalisco,2019,1.232
durango,2022,0.89
sinaloa,2019,0.5
colima,2022,0.25
baja california sur,2019,0.23
nayarit,2022,0.2
morelos,2019,0.151
coahuila de zaragoza,2022,0.04
colima,2019,0.0
campeche,2019,0.0
guerrero,2019,0.0
quintana roo,2019,0.0
tlaxcala,2019,0.0
zacatecas,2019,0.0
