ent_fed,generacion_estimada_ton_2017_2022_total
tabasco,9817020.339
méxico,9470058.625
baja california,8076308.449
michoacan de ocampo,6149386.819
coahuila de zaragoza,4510354.157000001
jalisco,3135747.827
chihuahua,2831004.905
zacatecas,2685519.738
guanajuato,2293756.801
veracruz de ignacio de la llave,2179773.937
puebla,1802096.455
tamaulipas,1718978.4070000001
ciudad de méxico,1492417.0729999999
hidalgo,1480515.046
querétaro,1313851.63
sonora,987586.263
nuevo león,969516.0719999999
durango,679105.998
campeche,450317.035
oaxaca,325788.656
sinaloa,267594.329
morelos,222037.646
chiapas,221753.864
san luis potosí,166581.428
nayarit,134859.714
guerrero,97484.55099999999
quintana roo,69770.652
tlaxcala,60912.1
yucatán,59152.937999999995
colima,35379.926999999996
baja california sur,34666.76
aguascalientes,30416.686999999998
